"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2013","142.16","141.20","142.26","141.13","","0.69%"
"12/11/2013","141.19","141.52","141.71","140.90","","-0.20%"
"12/10/2013","141.47","141.90","142.20","141.26","","-0.27%"
"12/09/2013","141.86","140.97","141.98","140.79","","0.61%"
"12/06/2013","141.00","139.12","141.09","138.95","","1.37%"
"12/05/2013","139.09","139.14","139.60","138.43","","-0.02%"
"12/04/2013","139.12","139.29","139.63","138.42","","-0.11%"
"12/03/2013","139.27","139.42","140.05","138.69","","-0.08%"
"12/02/2013","139.38","139.24","139.74","139.02","","0.16%"
"11/29/2013","139.16","139.22","139.74","138.95","","0.00%"
"11/28/2013","139.16","138.74","139.30","138.29","","0.33%"
"11/27/2013","138.70","137.49","138.82","137.27","","0.91%"
"11/26/2013","137.45","137.43","137.70","137.10","","0.04%"
"11/25/2013","137.39","137.29","138.01","137.00","","0.07%"
"11/22/2013","137.30","136.38","137.36","136.00","","0.69%"
"11/21/2013","136.36","134.45","136.44","134.35","","1.45%"
"11/20/2013","134.41","135.57","135.98","134.09","","-0.85%"
"11/19/2013","135.56","135.05","135.76","134.60","","0.41%"
"11/18/2013","135.00","135.23","135.45","134.73","","-0.14%"
"11/15/2013","135.19","134.62","135.34","134.48","","0.45%"
"11/14/2013","134.58","133.85","134.75","133.69","","0.59%"
"11/13/2013","133.79","133.86","134.00","133.22","","-0.04%"
"11/12/2013","133.84","132.93","134.07","132.88","","0.70%"
"11/11/2013","132.91","132.60","133.17","132.18","","0.34%"
"11/08/2013","132.46","131.63","132.56","131.30","","0.65%"
"11/07/2013","131.60","133.32","133.56","131.21","","-1.26%"
"11/06/2013","133.28","132.75","133.75","132.54","","0.43%"
"11/05/2013","132.71","133.28","133.37","132.35","","-0.40%"
"11/04/2013","133.24","133.10","133.39","132.84","","0.14%"
"11/01/2013","133.06","133.60","133.72","132.59","","-0.39%"
"10/31/2013","133.58","135.32","135.39","133.34","","-1.26%"
"10/30/2013","135.28","134.96","135.48","134.76","","0.26%"
"10/29/2013","134.93","134.64","135.22","134.24","","0.25%"
"10/28/2013","134.60","134.51","135.03","134.51","","0.10%"
"10/25/2013","134.46","134.25","134.57","133.87","","0.18%"
"10/24/2013","134.22","134.16","134.82","133.88","","0.09%"
"10/23/2013","134.10","135.25","135.32","133.59","","-0.83%"
"10/22/2013","135.22","134.36","135.53","133.88","","0.67%"
"10/21/2013","134.32","133.77","134.40","133.71","","0.47%"
"10/18/2013","133.69","133.89","134.23","133.59","","-0.13%"
"10/17/2013","133.86","133.68","133.98","133.31","","0.15%"
"10/16/2013","133.66","132.76","133.78","132.73","","0.69%"
"10/15/2013","132.74","133.68","133.87","132.69","","-0.69%"
"10/14/2013","133.66","133.52","133.76","132.86","","0.15%"
"10/11/2013","133.46","132.70","133.63","132.44","","0.58%"
"10/10/2013","132.69","131.65","133.00","131.60","","0.80%"
"10/09/2013","131.64","131.50","132.21","131.22","","0.14%"
"10/08/2013","131.45","131.34","132.07","131.10","","0.11%"
"10/07/2013","131.31","132.12","132.14","131.26","","-0.62%"
"10/04/2013","132.13","132.45","132.72","131.75","","-0.21%"
"10/03/2013","132.41","132.19","133.24","132.12","","0.20%"
"10/02/2013","132.14","132.55","132.67","131.42","","-0.27%"
"10/01/2013","132.50","132.85","133.51","132.31","","-0.24%"
"09/30/2013","132.82","132.45","133.26","131.38","","-0.01%"
"09/27/2013","132.83","133.51","133.61","132.61","","-0.49%"
"09/26/2013","133.49","133.15","133.97","132.87","","0.29%"
"09/25/2013","133.11","133.03","133.59","132.68","","0.10%"
"09/24/2013","132.98","133.38","134.03","132.68","","-0.26%"
"09/23/2013","133.33","134.29","134.55","133.07","","-0.70%"
"09/20/2013","134.27","134.56","134.76","134.14","","-0.19%"
"09/19/2013","134.52","132.43","134.99","132.33","","1.59%"
"09/18/2013","132.41","132.41","132.84","131.84","","0.02%"
"09/17/2013","132.38","132.11","132.68","132.01","","0.24%"
"09/16/2013","132.06","132.40","132.43","131.69","","-0.01%"
"09/13/2013","132.07","132.39","132.68","131.64","","-0.22%"
"09/12/2013","132.36","132.94","133.13","131.71","","-0.40%"
"09/11/2013","132.89","133.20","133.39","132.75","","-0.23%"
"09/10/2013","133.19","132.00","133.32","131.89","","0.93%"
"09/09/2013","131.96","131.45","132.26","130.97","","1.04%"
"09/06/2013","130.60","131.35","131.51","129.89","","-0.56%"
"09/05/2013","131.33","131.76","132.17","130.99","","-0.31%"
"09/04/2013","131.74","131.14","131.85","130.79","","0.48%"
"09/03/2013","131.11","131.05","131.49","130.64","","0.07%"
"09/02/2013","131.02","129.97","131.42","129.76","","0.96%"
"08/30/2013","129.77","130.23","130.37","129.31","","-0.33%"
"08/29/2013","130.20","130.26","130.64","129.95","","-0.02%"
"08/28/2013","130.22","129.96","130.59","129.68","","0.22%"
"08/27/2013","129.93","131.70","131.79","129.82","","-1.32%"
"08/26/2013","131.67","132.02","132.34","131.43","","-0.34%"
"08/23/2013","132.12","131.87","132.45","131.79","","0.23%"
"08/22/2013","131.82","130.47","132.00","130.28","","1.04%"
"08/21/2013","130.46","130.50","131.02","130.23","","-0.02%"
"08/20/2013","130.48","130.10","130.79","129.29","","0.32%"
"08/19/2013","130.06","130.04","131.06","129.85","","0.06%"
